word,pronunciation
abounds,əˈbaʊndz
about,əˈbaʊt
above,əˈbəv
abraham,ˈeɪbrəˌhæm
abrasion,əˈbreɪʒən
abrasions,əˈbreɪʒənz
abrasive,əˈbreɪsɪv
abrasives,əˈbreɪsɪvz
abreast,əˈbrɛst
abridge,əˈbrɪʤ
abridged,əˈbrɪʤd
abridgement,əˈbrɪʤmənt
abridging,əˈbrɪʤɪŋ
abroad,əˈbrɔd
abrogate,ˈæbrəˌgeɪt
abrogated,ˈæbrəˌgeɪtɪd
abrogating,ˈæbrəˌgeɪtɪŋ
abrogation,ˌæbrəˈgeɪʃən
abrupt,əˈbrəpt
abruptly,əˈbrəptli
abruptness,əˈbrəptnəs
abscess,ˈæbˌsɛs
abscond,æbˈskɑnd
absconded,æbˈskɑndəd
absconding,æbˈskɑndɪŋ
absconds,æbˈskɑndz
absence,ˈæbsəns
absences,ˈæbsənsɪz
absent,ˈæbsənt
absentee,ˌæbsənˈti
absenteeism,ˌæbsənˈtiɪzəm
absentees,ˌæbsənˈtiz
absolute,ˈæbsəˌlut
absolutely,ˌæbsəˈlutli
absoluteness,ˈæbsəˌlutnəs
absolutes,ˈæbsəˌluts
absolution,ˌæbsəˈluʃən
absolutism,ˈæbsəˌluˌtɪzəm
absolutist,æbsəˈlutɪst
absolve,əbˈzɑlv
absolved,əbˈzɑlvd
absolves,əbˈzɑlvz
absolving,əbˈzɑlvɪŋ
absorb,əbˈzɔrb
absorbed,əbˈzɔrbd
absorbency,əbˈzɔrbənsi
absorbent,əbˈzɔrbənt
absorber,əbˈzɔrbər
absorbers,əbˈzɔrbərz
absorbing,əbˈzɔrbɪŋ
absorbs,əbˈzɔrbz
absorption,əbˈzɔrpʃən
abstain,əbˈsteɪn
abstained,əbˈsteɪnd
abstaining,əbˈsteɪnɪŋ
abstention,əbˈstɛnʧən
abstentions,əbˈstɛnʧənz
abstinence,ˈæbstənəns
abstinent,ˈæbstənənt
abstract,ˈæbˌstrækt
abstracted,ˈæbˌstræktɪd
abstraction,æbˈstrækʃən
abstractions,æbˈstrækʃənz
abstracts,ˈæbstrækts
abstruse,əbˈstrus
absurd,əbˈsərd
absurdist,əbˈsərdɪst
absurdities,əbˈsərdətiz
absurdity,əbˈsərdəti
absurdly,əbˈsərdli
abundance,əˈbəndəns
abundant,əˈbəndənt
abundantly,əˈbəndəntli
abuse,əˈbjuz
abused,əˈbjuzd
abuser,əˈbjuzər
abusers,əˈbjuzərz
abuses,əˈbjuzɪz
abusing,əˈbjuzɪŋ
abusive,əˈbjusɪv
abut,əˈbət
abutted,əˈbətəd
abutting,əˈbətɪŋ
abuzz,əˈbəz
abysmal,əˈbɪzməl
abysmally,əˈbɪzməli
abyss,əˈbɪs
acacia,əˈkeɪʃə
academe,ˈækəˌdim
academia,ˌækəˈdimiə
academic,ˌækəˈdɛmɪk
academically,ˌækəˈdɛmɪkli
academician,ˌækədəˈmɪʃən
academicians,ˌækədəˈmɪʃənz
academics,ˌækəˈdɛmɪks
academies,əˈkædəmiz
academy,əˈkædəmi
acapulco,ˌækəˈpʊlkoʊ
accede,ækˈsid
acceded,ækˈsidɪd
acceding,ækˈsidɪŋ
accelerate,ækˈsɛlərˌeɪt
accelerated,ækˈsɛlərˌeɪtɪd
accelerates,ækˈsɛlərˌeɪts
accelerating,ækˈsɛlərˌeɪtɪŋ
acceleration,ˌækˌsɛlərˈeɪʃən
accelerator,ækˈsɛlərˌeɪtər
accelerators,ækˈsɛlərˌeɪtərz
accelerometer,ækˌsɛlərˈɑmətər
accelerometers,ækˌsɛlərˈɑmətərz
accent,ˈækˌsɛnt
accented,ˈæksɛntɪd
accenting,ˈæksɛntɪŋ
accents,ˈæksɛnts
accentuate,ækˈsɛnʧueɪt
accentuated,ækˈsɛnʧuˌeɪtɪd
accentuates,ækˈsɛnʧuˌeɪts
accentuating,ækˈsɛnʧuˌeɪtɪŋ
accept,əkˈsɛpt
acceptability,əkˌsɛptəˈbɪləti
acceptable,əkˈsɛptəbəl
acceptably,əkˈsɛptəbli
acceptance,əkˈsɛptəns
acceptances,ækˈsɛptənsɪz
accepted,ækˈsɛptɪd
accepting,əkˈsɛptɪŋ
accepts,ækˈsɛpts
access,ˈækˌsɛs
accessed,ˈækˌsɛst
accessibility,ˌæksɛsəˈbɪlɪti
accessible,ækˈsɛsəbəl
accessing,ˈækˌsɛsɪŋ
accession,əkˈsɛʃən
accessories,ækˈsɛsəriz
accessory,ækˈsɛsəri
accident,ˈæksədənt
accidental,ˌæksəˈdɛnəl
accidentally,ˌæksəˈdɛnəli
accidents,ˈæksədənts
acclaim,əˈkleɪm
acclaimed,əˈkleɪmd
acclaims,əˈkleɪmz
acclamation,ˌækləˈmeɪʃən
accolade,ˈækəˌleɪd
accolades,ˈækəˌleɪdz
accommodate,əˈkɑməˌdeɪt
accommodated,əˈkɑməˌdeɪtəd
accommodates,əˈkɑməˌdeɪts
accommodating,əˈkɑməˌdeɪtɪŋ
accommodation,əˌkɑməˈdeɪʃən
accommodations,əˌkɑməˈdeɪʃənz
accompanied,əˈkəmpənid
accompanies,əˈkəmpəniz
accompaniment,əˈkəmpnɪmənt
accompaniments,əˈkəmpnɪmənts
accompanist,əˈkəmpənəst
accompany,əˈkəmpəni
accompanying,əˈkəmpəniɪŋ
accomplice,əˈkɑmpləs
accomplices,əˈkɑmpləsəz
accomplish,əˈkɑmplɪʃ
accomplished,əˈkɑmplɪʃt
accomplishes,əˈkɑmplɪʃɪz
accomplishing,əˈkɑmplɪʃɪŋ
accomplishment,əˈkɑmplɪʃmənt
accomplishments,əˈkɑmplɪʃmənts
accord,əˈkɔrd
accordance,əˈkɔrdəns
accorded,əˈkɔrdɪd
according,əˈkɔrdɪŋ
accordingly,əˈkɔrdɪŋli
accordion,əˈkɔrdiən
accordions,əˈkɔrdiənz
accords,əˈkɔrdz
accost,əˈkɔst
accosted,əˈkɑstəd
accosting,əˈkɑstɪŋ
account,əˈkaʊnt
accountability,əˈkaʊntəˌbɪlɪti
accountable,əˈkaʊntəbəl
accountancy,əˈkaʊntəntˌsi
accountant,əˈkaʊntənt
accountants,əˈkaʊntənts
accounted,əˈkaʊntɪd
accounting,əˈkaʊnɪŋ
accounts,əˈkaʊnts
accra,ˈɑˌkrɑ
accredit,əˈkrɛˌdɪt
accreditation,əˌkrɛdəˈteɪʃən
accredited,əˈkrɛdɪtɪd
accrediting,əˈkrɛdətɪŋ
accreted,əˈkritɪd
accretion,əˈkriʃən
accrual,əˈkruəl
accruals,əˈkruəlz
accrue,əˈkru
accrued,əˈkrud
accrues,əˈkruz
accruing,əˈkruɪŋ
accumulate,əˈkjumjəˌleɪt
accumulated,əˈkjumjəˌleɪtɪd
accumulates,əˈkjumjəˌleɪts
accumulating,əˈkjumjəˌleɪtɪŋ
accumulation,əˌkjumjəˈleɪʃən
accumulations,əˌkjumjəˈleɪʃənz
accumulative,əˈkjumjəˌleɪtɪv
accumulator,əˈkjumjəˌleɪtər
accumulators,əˈkjumjəˌleɪtərz
accuracies,ˈækjərəsiz
accuracy,ˈækjərəsi
accurate,ˈækjərət
accurately,ˈækjərətli
accusation,ˌækjəˈzeɪʃən
accusations,ˌækjəˈzeɪʃənz
accusative,əˈkjuzətɪv
accusatory,əˈkjuzəˌtɔri
accuse,əˈkjuz
accused,əˈkjuzd
accuser,əˈkjuzər
accusers,əˈkjuzərz
accuses,əˈkjuzɪz
accusing,əˈkjuzɪŋ
accusingly,əˈkjuzɪŋli
accustom,əˈkəstəm
accustomed,əˈkəstəmd
ace,eɪs
aced,eɪst
acerbic,əˈsɛrbɪk
aces,ˈeɪsɪz
acetate,ˈæsəˌteɪt
acetic,əˈsɛtɪk
acetone,ˈæsəˌtoʊn
acetylene,əˈsɛtəˌlin
ache,eɪk
ached,eɪkt
aches,eɪks
achievable,əˈʧivəbəl
achieve,əˈʧiv
achieved,əˈʧivd
achievement,əˈʧivmənt
achievements,əˈʧivmənts
achiever,əˈʧivər
achievers,əˈʧivərz
achieves,əˈʧivz
achieving,əˈʧivɪŋ
aching,ˈeɪkɪŋ
achingly,ˈeɪkɪŋli
achy,ˈeɪki
acid,ˈæsəd
acidic,əˈsɪdɪk
acidification,əˌsɪdəfəˈkeɪʃən
acidified,əˈsɪdəˌfaɪd
acidify,əˈsɪdəˌfaɪ
acidity,əˈsɪdəti
acidly,ˈæsədli
acids,ˈæsədz
acknowledge,ækˈnɑlɪʤ
acknowledged,ækˈnɑlɪʤd
acknowledgement,ækˈnɑlɪʤmənt
acknowledgements,ækˈnɑlɪʤmənts
acknowledges,ækˈnɑlɪʤɪz
acknowledging,ækˈnɑlɪʤɪŋ
acknowledgment,ækˈnɑlɪʤmənt
acme,ˈækmi
acne,ˈækni
acolyte,ˈækəˌlaɪt
acolytes,ˈækəˌlaɪts
acorn,ˈeɪkɔrn
acorns,ˈeɪkɔrnz
acoustic,əˈkustɪk
acoustical,əˈkustɪkəl
acoustically,əˈkustɪkli
acoustics,əˈkustɪks
acquaint,əkˈweɪnt
acquaintance,əkˈweɪntəns
acquaintances,əkˈweɪntənsɪz
acquainted,əkˈweɪnɪd
acquiesce,ˌækwiˈɛs
acquiesced,ˌækwiˈɛst
acquiescence,ˌækwiˈɛsəns
acquiescing,ˌækwiˈɛsɪŋ
acquire,əkˈwaɪər
acquired,əkˈwaɪərd
acquirer,əkˈwaɪərər
acquirers,əkˈwaɪərərz
acquires,əkˈwaɪərz
acquiring,əkˈwaɪərɪŋ
acquisition,ˌækwəˈzɪʃən
acquisitions,ˌækwəˈzɪʃənz
acquisitive,əkˈwɪzətɪv
acquit,əkˈwɪt
acquits,əkˈwɪts
acquittal,əkˈwɪtəl
acquittals,əkˈwɪtəlz
acquitted,əkˈwɪtɪd
acquitting,əkˈwɪtɪŋ
acre,ˈeɪkər
acreage,ˈeɪkərɪʤ
acres,ˈeɪkərz
acrid,ˈækrɪd
acrimonious,ˌækrəˈmoʊniəs
acrimony,ˈækrɪˌmoʊni
acrobat,ˈækrəˌbæt
acrobatic,ˌækrəˈbætɪk
acrobatics,ˌækrəˈbætɪks
acrobats,ˈækrəˌbæts
acronym,ˈækrənɪm
acronyms,ˈækrənɪmz
across,əˈkrɔs
acrylic,əˈkrɪlɪk
acrylics,əˈkrɪlɪks
act,ækt
acted,ˈæktɪd
acting,ˈæktɪŋ
action,ˈækʃən
actionable,ˈækʃənəbəl
actions,ˈækʃənz
activate,ˈæktəˌveɪt
activated,ˈæktɪˌveɪtɪd
activates,ˈæktəˌveɪts
activating,ˈæktəˌveɪtɪŋ
activation,ˌæktəˈveɪʃən
activator,ˈæktəˌveɪtər
active,ˈæktɪv
actively,ˈæktɪvli
actives,ˈæktɪvz
activism,ˈæktɪˌvɪzəm
activist,ˈæktɪvɪst
activists,ˈæktɪvɪsts
activities,ækˈtɪvɪtiz
activity,ækˈtɪvɪti
actor,ˈæktər
actors,ˈæktərz
actress,ˈæktrəs
actresses,ˈæktrəsɪz
acts,ækts
actual,ˈækʧəwəl
actuality,ˌækʧuˈæləˌti
actually,ˈæˌkʧuəli
actuarial,ˌæˌkʧuˈɛriəl
actuaries,ˈæˌkʧuˈɛˌriz
actuary,ˈækʧuˈɛˌri
actuate,ˈæˌkʧuˈeɪt
actuator,ˈækʧuˌeɪtər
actuators,ˈækʧuˌeɪtərz
acuity,əˈkjuəti
acumen,əˈkjumən
acupuncture,ˈækjuˌpəŋkʧər
acute,əˈkjut
acutely,əˈkjutli
acuteness,əˈkjutnəs
adage,ˈædəʤ
adagio,əˈdɑʒiˌoʊ
adam,ˈædəm
adamant,ˈædəmənt
adamantly,ˈædəməntli
adapt,əˈdæpt
adaptability,əˌdæptəˈbɪləti
adaptable,əˈdæptəbəl
adaptation,ˌædəpˈteɪʃən
adaptations,ˌædəpˈteɪʃənz
adapted,əˈdæptɪd
adapter,əˈdæptər
adapters,əˈdæptərz
adapting,əˈdæptɪŋ
adaptive,əˈdæptɪv
adaptor,əˈdæptər
adaptors,əˈdæptərz
adapts,əˈdæpts
add,æd
added,ˈædɪd
addendum,əˈdɛndəm
adder,ˈædər
addict,ˈæˌdɪkt
addicted,əˈdɪktɪd
addiction,əˈdɪkʃən
addictions,əˈdɪkʃənz
addictive,əˈdɪktɪv
addicts,ˈæˌdɪkts
adding,ˈædɪŋ
addition,əˈdɪʃən
additional,əˈdɪʃənəl
additionally,əˈdɪʃəˌnəli
additions,əˈdɪʃənz
additive,ˈædɪtɪv
additives,ˈædɪtɪvz
addle,ˈædəl
addled,ˈædəld
address,ˈæˌdrɛs
addressable,æˈdrɛsəbəl
addressed,əˈdrɛst
addressee,ˌædrɛˈsi
addresses,ˈæˈdrɛsɪz
addressing,æˈdrɛsɪŋ
adds,ædz
adelaide,ˈædəˌleɪd
aden,ˈeɪdən
adenine,ˈædəˌnin
adenoid,ˈædəˌnɔɪd
adenoids,ˈædəˌnɔɪdz
adept,əˈdɛpt
adequacy,ˈædəkwəsi
adequate,ˈædəkˌweɪt
adequately,ˈædəkwɪtli
adhere,əˈdhɪr
adhered,æˈdhɪrd
adherence,əˈdhɪrəns
adherent,əˈdhɪrənt
adherents,æˈdhɪrənts
adheres,əˈdhɪrz
adhering,əˈdhɪrɪŋ
adhesion,æˈdhiʒən
adhesive,əˈdhisɪv
adhesives,əˈdhisɪvz
adieu,əˈdu
adios,ˌɑdiˈoʊs
adipose,ˈædəˌpoʊs
adjacent,əˈʤeɪsənt
adjective,ˈæʤɪktɪv
adjectives,ˈæʤɪktɪvz
adjoin,əˈʤɔɪn
adjoining,əˈʤɔɪnɪŋ
adjoins,əˈʤɔɪnz
adjourn,əˈʤərn
adjourned,əˈʤərnd
adjourning,əˈʤərnɪŋ
adjournment,əˈʤərnmənt
adjourns,əˈʤərnz
adjudge,əˈʤəʤ
adjudged,əˈʤəʤd
adjudicate,əˈʤudɪˌkeɪt
adjudicated,əˈʤudəˌkeɪtɪd
adjudicating,əˈʤudɪˌkeɪtɪŋ
adjudication,əˌʤudəˈkeɪʃən
adjunct,ˈæˌʤəŋkt
adjuncts,ˈæˌʤəŋkts
adjust,əˈʤəst
adjustable,əˈʤəstəbəl
adjusted,əˈʤəstɪd
adjuster,əˈʤəstər
adjusting,əˈʤəstɪŋ
adjustment,əˈʤəstmənt
adjustments,əˈʤəstmənts
adjusts,əˈʤəsts
adjutant,ˈæʤətənt
adman,ˈædmən
admen,ˈædmən
admin,ˈædmɪn
administer,ədˈmɪnɪstər
administered,ədˈmɪnɪstərd
administering,ædˈmɪnɪˌstərɪŋ
administers,ædˈmɪnɪstərz
administrate,ædˈmɪnɪˌstreɪt
administrating,ədˈmɪnɪˌstreɪtɪŋ
administration,ædˌmɪnɪˈstreɪʃən
administrations,ædˌmɪnɪˈstreɪʃənz
administrative,ədˈmɪnɪˌstreɪtɪv
administratively,ædˌmɪnɪˈstreɪtɪvli
administrator,ədˈmɪnɪˌstreɪtər
administrators,ædˈmɪnɪˌstreɪtərz
admirable,ˈædmərəbəl
admirably,ˈædmərəbli
admiral,ˈædmərəl
admirals,ˈædmərəlz
admiration,ˌædmərˈeɪʃən
admire,ædˈmaɪr
admired,ədˈmaɪərd
admirer,ædˈmaɪrər
admirers,ədˈmaɪrərz
admires,ædˈmaɪrz
admiring,ædˈmaɪrɪŋ
admiringly,ædˈmaɪrɪŋli
admissibility,ədˌmɪsəˈbɪləti
admissible,ədˈmɪsəbəl
admission,ədˈmɪʃən
admissions,ədˈmɪʃənz
admit,ədˈmɪt
admits,ədˈmɪts
admittance,ədˈmɪtəns
admitted,ədˈmɪtəd
admittedly,ædˈmɪtɪdli
admitting,ədˈmɪtɪŋ
admonish,ædˈmɑnɪʃ
admonished,ədˈmɑnɪʃt
admonishes,ædˈmɑnɪʃɪz
admonishing,ædˈmɑnɪʃɪŋ
admonishment,ædˈmɑnɪʃmɛnt
admonition,ˌædməˈnɪʃən
admonitions,ˌædməˈnɪʃənz
admonitory,ˌædˈmɔnɪˌtɔri
ado,əˈdu
adobe,əˈdoʊbi
adolescence,ˌædəˈlɛsəns
adolescent,ˌædəˈlɛsənt
adolescents,ˌædəˈlɛsənts
adonis,əˈdɑnəs
adopt,əˈdɑpt
adopted,əˈdɑptəd
adopter,əˈdɑptər
adopting,əˈdɑptɪŋ
adoption,əˈdɑpʃən
adoptions,əˈdɑpʃənz
adoptive,əˈdɑptɪv
adopts,əˈdɑpts
adorable,əˈdɔrəbəl
adoration,ˌædərˈeɪʃən
adore,əˈdɔr
adored,əˈdɔrd
adores,əˈdɔrz
adoring,əˈdɔrɪŋ
adorn,əˈdɔrn
adorned,əˈdɔrnd
adorning,əˈdɔrnɪŋ
adornment,əˈdɔrnmənt
adorns,əˈdɔrnz
adrenal,əˈdrinəl
adrenalin,əˈdrɛnəlɪn
adrenaline,əˈdrɛnələn
adrift,əˈdrɪft
adroit,əˈdrɔɪt
adroitly,əˈdrɔɪtli
adulation,ˌæʤəˈleɪʃən
adult,ˈædəlt
adulterate,əˈdəltərˌeɪt
adulterated,əˈdəltərˌeɪtɪd
adulterates,əˈdəltərˌeɪts
adulteration,əˌdəltərˈeɪʃən
adulterer,əˈdəltərər
adulterers,əˈdəltərərz
adulterous,əˈdəltərəs
adultery,əˈdəltəri
adulthood,əˈdəlˌthʊd
adults,ˈædəlts
advance,ədˈvæns
advanced,ədˈvænst
advancement,ədˈvænsmənt
advancements,ədˈvænsmənts
advancer,ədˈvænsər
advances,ədˈvænsɪz
advancing,ədˈvænsɪŋ
advantage,ædˈvæntɪʤ
advantaged,ædˈvæntɪʤd
advantageous,ˌædvənˈteɪʤəs
advantages,ædˈvæntɪʤɪz
advent,ˈædˌvɛnt
adventure,ədˈvɛnʧər
adventurer,ədˈvɛnʧərər
adventurers,ədˈvɛnʧərərz
adventures,ædˈvɛnʧərz
adventurism,ædˈvɛnʧərˌɪzəm
adventurous,ædˈvɛnʧərəs
adverb,ˈædvərb
adverbial,ædˈvərbiəl
adverbs,ˈædvərbz
adversarial,ˌædvərˈsɛriəl
adversaries,ˈædvərˌsɛriz
adversary,ˈædvərˌsɛri
adverse,ˌædˈvərs
adversely,ædˈvərsli
adversity,ædˈvərsɪˌti
advertise,ˈædvərˌtaɪz
advertised,ˌædvərˈtaɪzd
advertisement,ˌædvərˈtaɪzmənt
advertisements,ˈædvərˌtaɪzmənts
advertiser,ˈædvərˌtaɪzər
advertisers,ˈædvərˌtaɪzərz
advertises,ˈædvərˌtaɪzɪz
advertising,ˈædvərˌtaɪzɪŋ
advice,ədˈvaɪs
advisability,ˌædˌvaɪzəˈbɪlɪti
advisable,ədˈvaɪzəbəl
advise,ədˈvaɪz
advised,ədˈvaɪzd
advisedly,ədˈvaɪzədli
adviser,ædˈvaɪzər
advisers,ædˈvaɪzərz
advises,ædˈvaɪzɪz
advising,ædˈvaɪzɪŋ
advisory,ædˈvaɪzəri
advocacy,ˈædvəkəsi
advocate,ˈædvəˌkeɪt
advocated,ˈædvəˌkeɪtɪd
advocates,ˈædvəˌkeɪts
advocating,ˈædvəˌkeɪtɪŋ
aegean,ˌeɪˈʤiən
aegis,ˈiʤəs
aerial,ˈɛriəl
aerials,ˈɛriəlz
aerobatic,ˌɛrəˈbætɪk
aerobatics,ˌɛrəˈbætɪks
aerobic,ɛˈroʊbɪk
aerobically,ɛˈroʊbɪkli
aerobics,ərˈoʊbɪks
aerodrome,ˈɛrəˌdroʊm
aerodromes,ˈɛrəˌdroʊmz
aerodynamic,ˌɛroʊdaɪˈnæmɪk
aerodynamically,ˌɛroʊdaɪˈnæmɪkli
aerodynamics,ˌɛroʊdaɪˈnæmɪks
aeronautic,ˌɛroʊˈnɑtək
aeronautical,ˌɛrəˈnɑtəkəl
aeronautics,ˌɛrəˈnɔtɪks
aerosol,ˈɛrəˌsɑl
aerosols,ˈɛrəˌsɑlz
aerospace,ˈɛroʊˌspeɪs
aesop,ˈiˌsɑp
aesthete,ˈɛsθit
aesthetes,ˈɛsθits
aesthetic,ɛsˈθɛtɪk
aesthetically,ɛsˈθɛtɪkli
afar,əˈfɑr
affable,ˈæfəbəl
affably,ˈæfəbli
affair,əˈfɛr
affairs,əˈfɛrz
affect,əˈfɛkt
affectation,ˌæfɛkˈteɪʃən
affected,əˈfɛktɪd
affecting,əˈfɛktɪŋ
affection,əˈfɛkʃən
affectionate,əˈfɛkʃənət
affectionately,əˈfɛkʃənətli
affections,əˈfɛkʃənz
affective,əˈfɛktɪv
affects,əˈfɛkts
afferent,ˈæfərənt
affidavit,ˌæfəˈdeɪvət
affidavits,ˌæfɪˈdeɪvɪts
affiliate,əˈfɪliˌeɪt
affiliated,əˈfɪliˌeɪtɪd
affiliates,əˈfɪliˌeɪts
affiliating,əˈfɪliˌeɪtɪŋ
affiliation,əˌfɪliˈeɪʃən
affiliations,əˌfɪliˈeɪʃənz
affine,əˈfaɪn
affinities,əˈfɪnətiz
affinity,əˈfɪnɪti
affirm,əˈfərm
affirmation,ˌæfərˈmeɪʃən
affirmations,ˌæfərˈmeɪʃənz
affirmative,əˈfərmətɪv
affirmatively,əˈfərmətɪvli
affirmed,əˈfərmd
affirming,əˈfərmɪŋ
affirms,əˈfərmz
affix,ˈæfɪks
affixed,əˈfɪkst
affixes,ˈæfɪksɪz
affixing,əˈfɪksɪŋ
afflict,əˈflɪkt
afflicted,əˈflɪktɪd
afflicting,əˈflɪktɪŋ
affliction,əˈflɪkʃən
afflictions,əˈflɪkʃənz
afflicts,əˈflɪkts
affluence,ˈæfluəns
affluent,ˈæfluənt
afford,əˈfɔrd
affordability,əˌfɔrdəˈbɪləti
affordable,əˈfɔrdəbəl
afforded,əˈfɔrdəd
affording,əˈfɔrdɪŋ
affords,əˈfɔrdz
affront,əˈfrənt
affronted,əˈfrəntɪd
affronts,əˈfrənts
afghan,ˈæfˌgæn
afghani,æfˈgɑni
afghans,ˈæfˌgænz
afield,əˈfild
afire,əˈfaɪr
aflame,əˈfleɪm
afloat,əˈfloʊt
afoot,əˈfʊt
aforementioned,əˈfɔrˌmɛnʃənd
aforesaid,əˈfɔrˌsɛd
aforethought,əˈfɔrˌθɑt
afraid,əˈfreɪd
afresh,əˈfrɛʃ
africa,ˈæfrɪkɑ
african,ˈæfrɪkɑn
africans,ˈæfrɪkənz
afro,ˈæfroʊ
aft,æft
after,ˈæftər
aftereffect,ˈæftərəˌfɛkt
aftereffects,ˈæftərəˌfɛkts
afterglow,ˈæftərˌgloʊ
afterlife,ˈæftərˌlaɪf
afterlives,ˈæftərˌlaɪvz
aftermath,ˈæftərˌmæθ
afternoon,ˌæftərˈnun
afternoons,ˌæftərˈnunz
aftershave,ˌæftərˈʃeɪv
aftershocks,ˈæftərˌʃɑks
aftertaste,ˈæftərˌteɪst
afterthought,ˈæftərˌθɔt
afterthoughts,ˈæftərˌθɔts
afterward,ˈæftərwərd
afterwards,ˈæftərwərdz
aga,ˈɑgə
again,əˈgɛn
against,əˈgɛnst
agape,əˈgeɪp
agar,ˈeɪgər
age,eɪʤ
aged,ˈeɪʤɪd
ageless,ˈeɪʤləs
agencies,ˈeɪʤənsiz
agency,ˈeɪʤənsi
agenda,əˈʤɛndə
agendas,əˈʤɛndəz
agent,ˈeɪʤənt
agents,ˈeɪʤənts
ages,ˈeɪʤɪz
agglomeration,əˌglɑmərˈeɪʃən
aggravate,ˈægrəˌveɪt
aggravated,ˈægrəˌveɪtɪd
aggravates,ˈægrəˌveɪts
aggravating,ˈægrəˌveɪtɪŋ
aggravation,ˌægrəˈveɪʃən
aggregate,ˈægrəgət
aggregated,ˈægrəˌgeɪtəd
aggregates,ˈægrəˌgeɪts
aggregation,ˌægrəˈgeɪʃən
aggression,əˈgrɛʃən
aggressions,əˈgrɛʃənz
aggressive,əˈgrɛsɪv
aggressively,əˈgrɛsɪvli
aggressiveness,əˈgrɛsɪvnəs
aggressor,əˈgrɛsər
aggressors,əˈgrɛsərz
aggrieved,əˈgrivd
aghast,əˈgæst
agile,ˈæʤəl
agility,əˈʤɪləti
aging,ˈeɪʤɪŋ
agitate,ˈæʤəˌteɪt
agitated,ˈæʤəˌteɪtəd
agitating,ˈæʤəˌteɪtɪŋ
agitation,ˌæʤəˈteɪʃən
agitator,ˈæʤəˌteɪtər
agitators,ˈæʤɪˌteɪtərz
agitprop,ˈæʤətˌprɔp
agleam,əˈglim
aglow,əˈgloʊ
agnostic,ægˈnɑstɪk
agnostics,ægˈnɑstɪks
ago,əˈgoʊ
agog,əˈgɑg
agonies,ˈægəniz
agonist,ˈægənɪst
agonists,ˈægənɪsts
agony,ˈægəni
